timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
9128088452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1109.0,1157.0,1093.0,1000.0,1000.0,1000.0,1000.0
9128188451,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1091.0,1157.0,1111.0,1000.0,1000.0,1000.0,1000.0
9128288456,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1122.0,1157.0,1079.0,1000.0,1000.0,1000.0,1000.0
9128388461,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1056.0,1147.0,1126.0,1072.0,1000.0,1000.0,1000.0,1000.0
9128488465,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1064.0,1086.0,1135.0,1117.0,1000.0,1000.0,1000.0,1000.0
9128588453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1097.0,1096.0,1124.0,1087.0,1000.0,1000.0,1000.0,1000.0
9128688452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1140.0,1150.0,1069.0,1040.0,1000.0,1000.0,1000.0,1000.0
9128788448,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1167.0,1131.0,1051.0,1049.0,1000.0,1000.0,1000.0,1000.0
9128888466,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1105.0,1157.0,1097.0,1040.0,1000.0,1000.0,1000.0,1000.0
9128988460,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1090.0,1157.0,1112.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129088461,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1080.0,1157.0,1121.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129188448,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1097.0,1157.0,1105.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129288460,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1123.0,1157.0,1078.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129388458,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1135.0,1157.0,1065.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129488456,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1121.0,1157.0,1081.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129588474,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1121.0,1157.0,1081.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129688450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1166.0,1138.0,1050.0,1043.0,1000.0,1000.0,1000.0,1000.0
9129788452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1151.0,1157.0,1047.0,1040.0,1000.0,1000.0,1000.0,1000.0
9129888471,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1075.0,1040.0,1127.0,1000.0,1000.0,1000.0,1000.0
9129988521,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1154.0,1105.0,1040.0,1101.0,1000.0,1000.0,1000.0,1000.0
9130088453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1083.0,1040.0,1119.0,1000.0,1000.0,1000.0,1000.0
9130188462,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1159.0,1087.0,1042.0,1111.0,1000.0,1000.0,1000.0,1000.0
